Date,Close,Average,Volume
1910/3/1,1.124,0.427,140719600
1910/4/1,3.269,0.629,297731000
1910/5/1,7.996,0.368,203011900
1910/6/1,12.615,0.449,206216500
1910/7/1,14.282,0.538,259964600
1910/8/1,14.006,0.408,256119500
1910/9/1,12.093,0.395,268737700
1910/10/1,6.908,0.693,296417800
1910/11/1,1.981,0.706,161329700
1910/12/1,1.286,0.42,133347200
1911/1/1,-0.571,0.582,105137900
1911/2/1,-2.631,0.596,146192900
1911/3/1,-0.721,0.642,129996300
1911/4/1,2.016,0.515,160951700
1911/5/1,8.208,0.551,112052500
1911/6/1,10.96,0.391,107013900
1911/7/1,14.445,0.223,104413400
1911/8/1,16.825,0.26,105093800
1911/9/1,11.96,0.36,72274300
1911/10/1,5.871,0.74,111224400
1911/11/1,4.12,0.319,75782000
1911/12/1,2.086,0.722,112980000
1912/1/1,-5.222,0.849,155013600
1912/2/1,-5.145,0.478,133730100
1912/3/1,0.678,0.83,88717300
1912/4/1,1.216,0.336,79607500
1912/5/1,5.42,0.229,105660100
1912/6/1,11.937,0.507,84924000
1912/7/1,17.121,0.31,106676500
1912/8/1,16.052,0.522,96057500
1912/9/1,9.483,0.741,103510400
1912/10/1,4.595,0.497,150641400
1912/11/1,2.298,0.33,149216900
1912/12/1,2.416,0.649,116626300
1913/1/1,-2.742,0.606,137097800
1913/2/1,-0.599,0.359,95822300
1913/3/1,0.925,0.276,105196700
1913/4/1,3.138,0.458,174259400
1913/5/1,7.319,0.486,103856900
1913/6/1,11.705,0.674,130197200
1913/7/1,15.66,0.567,85639400
1913/8/1,15.318,0.623,131637800
1913/9/1,11.799,0.739,109643800
1913/10/1,7.009,0.56,96885600
1913/11/1,5.425,0.354,97195000
1913/12/1,-1.454,0.547,102037600
1914/1/1,-2.755,0.404,107342200
1914/2/1,1.093,0.931,163025800
1914/3/1,-1.07,0.234,158619300
1914/4/1,4.034,0.725,164669400
1914/5/1,6.94,0.393,167018600
1914/6/1,12.735,0.544,146322400
1914/7/1,19.858,0.378,196529200
1914/8/1,14.93,0.432,162372000
