dt,Country,AverageTemperature,TemperatureDifference
1953,Reunion,23.392916666666668,-0.046416666666669215
1954,Reunion,23.564666666666668,0.1717499999999994
1955,Reunion,23.207666666666668,-0.3569999999999993
1956,Reunion,23.1905,-0.017166666666668107
1957,Reunion,23.274666666666665,0.08416666666666472
1958,Reunion,23.366416666666662,0.09174999999999756
1959,Reunion,23.12758333333333,-0.23883333333333212
1960,Reunion,23.20025,0.07266666666667021
1961,Reunion,23.978916666666667,0.7786666666666662
1962,Reunion,23.085166666666662,-0.8937500000000043
1963,Reunion,22.96475,-0.12041666666666373
1964,Reunion,22.918500000000005,-0.04624999999999346
1965,Reunion,22.927833333333336,0.009333333333330529
1966,Reunion,23.41025,0.4824166666666656
1967,Reunion,23.5575,0.14724999999999966
1968,Reunion,23.0415,-0.5160000000000018
1969,Reunion,23.87633333333333,0.8348333333333322
1970,Reunion,23.508750000000003,-0.3675833333333287
1971,Reunion,23.082166666666662,-0.4265833333333404
1972,Reunion,23.586166666666667,0.5040000000000049
1973,Reunion,23.545916666666667,-0.04025000000000034
1974,Reunion,22.95266666666667,-0.5932499999999976
1975,Reunion,23.321,0.3683333333333323
1976,Reunion,23.6035,0.28249999999999886
1977,Reunion,23.91508333333333,0.3115833333333313
1978,Reunion,23.75958333333333,-0.15549999999999997
1979,Reunion,23.69383333333333,-0.06575000000000131
1980,Reunion,23.678,-0.01583333333332959
1981,Reunion,23.548916666666667,-0.12908333333333388
1982,Reunion,23.472583333333333,-0.07633333333333425
1983,Reunion,23.58583333333333,0.11324999999999719
1984,Reunion,23.320833333333336,-0.26499999999999346
1985,Reunion,23.466833333333337,0.1460000000000008
1986,Reunion,23.4085,-0.05833333333333712
1987,Reunion,24.026750000000003,0.6182500000000033
1988,Reunion,23.84733333333333,-0.1794166666666719
1989,Reunion,23.5765,-0.27083333333333215
1990,Reunion,23.54225,-0.034250000000000114
1991,Reunion,23.92233333333333,0.38008333333333155
1992,Reunion,23.749,-0.173333333333332
1993,Reunion,23.769166666666667,0.02016666666666822
1994,Reunion,23.994916666666665,0.2257499999999979
1995,Reunion,23.856583333333333,-0.13833333333333186
1996,Reunion,23.73283333333333,-0.12375000000000469
1997,Reunion,23.860916666666668,0.12808333333333977
1998,Reunion,24.225916666666667,0.36499999999999844
1999,Reunion,23.891333333333336,-0.334583333333331
2000,Reunion,23.881416666666667,-0.009916666666669016
2001,Reunion,24.273416666666662,0.3919999999999959
2002,Reunion,24.145333333333337,-0.12808333333332556
2003,Reunion,24.197000000000003,0.05166666666666586
2004,Reunion,24.08541666666667,-0.11158333333333204
2005,Reunion,23.90983333333333,-0.1755833333333392
2006,Reunion,24.04908333333333,0.139249999999997
2007,Reunion,24.026666666666667,-0.0224166666666612
2008,Reunion,23.93075,-0.09591666666666754
2009,Reunion,24.269,0.3382499999999986
2010,Reunion,24.37391666666667,0.10491666666667143
2011,Reunion,24.3805,0.006583333333331609
2012,Reunion,24.178,-0.20250000000000057
1901,Romania,8.659833333333333,-0.7208333333333332
1902,Romania,7.870083333333333,-0.7897500000000006
1903,Romania,9.1155,1.2454166666666682
1904,Romania,8.473166666666666,-0.642333333333335
1905,Romania,8.644583333333332,0.17141666666666566
1906,Romania,8.91625,0.2716666666666683
1907,Romania,7.950166666666668,-0.9660833333333319
1908,Romania,8.202333333333334,0.25216666666666576
1909,Romania,8.546999999999999,0.3446666666666651
1910,Romania,9.344666666666669,0.7976666666666699
1911,Romania,8.75625,-0.588416666666669
1912,Romania,8.051083333333333,-0.7051666666666669
1913,Romania,8.481333333333334,0.4302500000000009
1914,Romania,8.097916666666666,-0.3834166666666672
1915,Romania,8.856166666666667,0.7582500000000003
1916,Romania,9.621166666666666,0.7649999999999988
1917,Romania,8.699750000000002,-0.9214166666666639
1918,Romania,9.418916666666668,0.7191666666666663
1919,Romania,8.512583333333334,-0.9063333333333343
1920,Romania,8.528583333333334,0.016000000000000014
1921,Romania,8.797583333333334,0.26900000000000013
1922,Romania,8.268083333333333,-0.5295000000000005
1923,Romania,9.74175,1.4736666666666665
1924,Romania,8.3245,-1.4172499999999992
1925,Romania,9.236916666666668,0.9124166666666671
1926,Romania,9.412083333333332,0.17516666666666403
1927,Romania,9.37825,-0.03383333333333205
1928,Romania,8.473333333333334,-0.904916666666665
1929,Romania,7.8245,-0.6488333333333349
1930,Romania,9.566166666666666,1.7416666666666663
1931,Romania,8.404,-1.162166666666666
1932,Romania,8.395999999999999,-0.008000000000000895
1933,Romania,7.248916666666666,-1.1470833333333328
1934,Romania,9.71325,2.464333333333334
1935,Romania,8.748666666666667,-0.9645833333333336
1936,Romania,9.777416666666666,1.0287499999999987
1937,Romania,9.651833333333332,-0.12558333333333316
1938,Romania,9.24,-0.41183333333333216
1939,Romania,9.421666666666669,0.18166666666666842
1940,Romania,7.0945,-2.3271666666666686
1941,Romania,7.794083333333333,0.699583333333333
1942,Romania,7.636666666666667,-0.15741666666666632
1943,Romania,8.9645,1.3278333333333325
1944,Romania,8.770916666666666,-0.19358333333333277
1945,Romania,8.662333333333333,-0.1085833333333337
1946,Romania,9.520916666666666,0.8585833333333337
1947,Romania,8.989749999999999,-0.5311666666666675
1948,Romania,8.957916666666666,-0.03183333333333316
1949,Romania,8.988166666666666,0.030250000000000554
1950,Romania,9.759,0.7708333333333339
1951,Romania,10.047666666666666,0.28866666666666596
1952,Romania,9.5365,-0.5111666666666661
1953,Romania,8.81675,-0.7197499999999994
1954,Romania,8.199333333333334,-0.6174166666666672
1955,Romania,8.869083333333334,0.6697500000000005
1956,Romania,7.739083333333333,-1.1300000000000008
1957,Romania,9.32325,1.5841666666666665
1958,Romania,9.527583333333332,0.2043333333333326
1959,Romania,8.757,-0.7705833333333327
1960,Romania,9.60325,0.8462499999999995
1961,Romania,9.58875,-0.014499999999999957
1962,Romania,9.015666666666666,-0.573083333333333
1963,Romania,8.713166666666666,-0.3025000000000002
1964,Romania,8.539333333333333,-0.17383333333333262
1965,Romania,8.3635,-0.17583333333333329
1966,Romania,9.925083333333331,1.5615833333333313
1967,Romania,9.286666666666669,-0.6384166666666626
1968,Romania,9.416583333333334,0.12991666666666468
1969,Romania,8.43975,-0.9768333333333334
1970,Romania,9.108166666666667,0.6684166666666673
1971,Romania,9.097416666666668,-0.010749999999999815
1972,Romania,9.288,0.19058333333333266
1973,Romania,8.684166666666666,-0.6038333333333341
1974,Romania,9.130916666666666,0.44674999999999976
1975,Romania,9.679083333333333,0.5481666666666669
1976,Romania,8.195583333333333,-1.4834999999999994
1977,Romania,9.3245,1.128916666666667
1978,Romania,8.3605,-0.9640000000000004
1979,Romania,9.396666666666668,1.0361666666666682
1980,Romania,8.076916666666667,-1.3197500000000009
1981,Romania,9.002,0.9250833333333333
1982,Romania,9.054416666666668,0.052416666666667666
1983,Romania,9.514416666666667,0.4599999999999991
1984,Romania,9.080333333333334,-0.4340833333333336
1985,Romania,7.914416666666667,-1.165916666666667
1986,Romania,8.936416666666666,1.0219999999999994
1987,Romania,8.656,-0.28041666666666565
1988,Romania,9.078333333333331,0.4223333333333308
1989,Romania,9.67875,0.6004166666666695
1990,Romania,10.226,0.54725
1991,Romania,8.728166666666667,-1.4978333333333342
1992,Romania,9.562583333333334,0.8344166666666677
1993,Romania,8.862916666666667,-0.6996666666666673
1994,Romania,10.609,1.746083333333333
1995,Romania,9.13875,-1.47025
1996,Romania,8.649416666666667,-0.48933333333333273
1997,Romania,8.523666666666667,-0.12575000000000003
1998,Romania,9.178416666666664,0.6547499999999964
1999,Romania,10.091,0.9125833333333357
2000,Romania,10.47225,0.3812500000000014
2001,Romania,9.638583333333337,-0.8336666666666641
2002,Romania,10.392666666666669,0.7540833333333321
2003,Romania,9.340166666666669,-1.0525000000000002
2004,Romania,9.558166666666668,0.21799999999999997
2005,Romania,9.123166666666666,-0.4350000000000023
2006,Romania,9.469,0.3458333333333332
2007,Romania,10.868333333333334,1.3993333333333347
2008,Romania,10.461,-0.40733333333333377
2009,Romania,10.470666666666666,0.009666666666666046
2010,Romania,9.851666666666668,-0.618999999999998
2011,Romania,9.569,-0.2826666666666675
2012,Romania,10.301083333333333,0.7320833333333319
1901,Russia,-5.460083333333333,0.4142499999999991
1902,Russia,-7.002750000000002,-1.5426666666666682
1903,Russia,-5.352583333333333,1.650166666666669
1904,Russia,-5.418499999999999,-0.0659166666666664
1905,Russia,-5.687083333333334,-0.26858333333333473
1906,Russia,-5.10175,0.5853333333333337
1907,Russia,-6.041416666666667,-0.9396666666666667
1908,Russia,-6.122583333333334,-0.08116666666666728
1909,Russia,-5.865083333333334,0.2575000000000003
1910,Russia,-5.776583333333334,0.0884999999999998
1911,Russia,-5.830333333333333,-0.053749999999999076
1912,Russia,-6.864416666666667,-1.0340833333333341
1913,Russia,-5.726416666666668,1.137999999999999
1914,Russia,-5.374166666666667,0.3522500000000006
1915,Russia,-6.363,-0.988833333333333
1916,Russia,-6.19,0.17300000000000004
1917,Russia,-5.528416666666668,0.6615833333333327
1918,Russia,-5.747916666666666,-0.21949999999999825
1919,Russia,-6.186,-0.43808333333333405
1920,Russia,-5.155,1.0309999999999997
1921,Russia,-4.90425,0.25075000000000003
1922,Russia,-5.697833333333333,-0.7935833333333324
1923,Russia,-5.521166666666667,0.17666666666666586
1924,Russia,-5.275416666666668,0.24574999999999836
1925,Russia,-5.128916666666666,0.1465000000000023
1926,Russia,-5.3745,-0.24558333333333415
1927,Russia,-5.656916666666668,-0.2824166666666681
1928,Russia,-5.7722500000000005,-0.11533333333333218
1929,Russia,-6.400083333333334,-0.6278333333333332
1930,Russia,-5.53075,0.8693333333333335
1931,Russia,-5.76275,-0.23199999999999932
1932,Russia,-4.758249999999999,1.0045000000000002
1933,Russia,-6.252166666666668,-1.493916666666669
1934,Russia,-4.643000000000001,1.6091666666666677
1935,Russia,-5.214333333333333,-0.5713333333333326
1936,Russia,-5.030083333333334,0.18424999999999958
1937,Russia,-5.148916666666668,-0.11883333333333468
1938,Russia,-4.552666666666666,0.5962500000000022
1939,Russia,-4.716833333333333,-0.16416666666666657
1940,Russia,-5.628416666666666,-0.9115833333333336
1941,Russia,-6.476666666666667,-0.8482500000000002
1942,Russia,-5.604666666666667,0.8719999999999999
1943,Russia,-4.1145000000000005,1.4901666666666662
1944,Russia,-4.434,-0.3194999999999997
1945,Russia,-5.394416666666667,-0.9604166666666671
1946,Russia,-5.855,-0.4605833333333331
1947,Russia,-5.368083333333335,0.4869166666666658
1948,Russia,-4.337583333333334,1.0305000000000009
1949,Russia,-4.9277500000000005,-0.5901666666666667
1950,Russia,-5.6089166666666666,-0.681166666666666
1951,Russia,-5.055916666666667,0.5529999999999999
1952,Russia,-6.175250000000001,-1.1193333333333344
1953,Russia,-4.779416666666667,1.395833333333334
1954,Russia,-5.317333333333334,-0.5379166666666668
1955,Russia,-5.626666666666668,-0.3093333333333339
1956,Russia,-5.81375,-0.18708333333333194
