dt,AverageTemperature,Country
2012-08-01,26.291,Baker Island
2012-09-01,26.22,Baker Island
2012-10-01,26.047,Baker Island
2012-11-01,26.182,Baker Island
2012-12-01,26.518,Baker Island
2012-01-01,17.925,Bangladesh
2012-02-01,21.282,Bangladesh
2012-03-01,26.076,Bangladesh
2012-04-01,27.62,Bangladesh
2012-05-01,29.416,Bangladesh
2012-06-01,29.085,Bangladesh
2012-07-01,28.599,Bangladesh
2012-08-01,28.908,Bangladesh
2012-09-01,28.626,Bangladesh
2012-10-01,26.631,Bangladesh
2012-11-01,23.139,Bangladesh
2012-12-01,19.096,Bangladesh
2012-01-01,26.06,Barbados
2012-02-01,25.81,Barbados
2012-03-01,26.216,Barbados
2012-04-01,26.733,Barbados
2012-05-01,27.46,Barbados
2012-06-01,28.321,Barbados
2012-07-01,28.278,Barbados
2012-08-01,28.195,Barbados
2012-09-01,28.402,Barbados
2012-10-01,28.019,Barbados
2012-11-01,27.922,Barbados
2012-12-01,26.744000000000003,Barbados
2012-01-01,-4.867,Belarus
2012-02-01,-10.805,Belarus
2012-03-01,1.1889999999999998,Belarus
2012-04-01,8.391,Belarus
2012-05-01,14.965,Belarus
2012-06-01,16.114,Belarus
2012-07-01,20.618,Belarus
2012-08-01,17.781,Belarus
2012-09-01,13.68,Belarus
2012-10-01,7.188,Belarus
2012-11-01,3.804,Belarus
2012-12-01,-6.0360000000000005,Belarus
2012-01-01,4.425,Belgium
2012-02-01,0.1159999999999996,Belgium
2012-03-01,8.578,Belgium
2012-04-01,8.408,Belgium
2012-05-01,14.479,Belgium
2012-06-01,15.300999999999998,Belgium
2012-07-01,17.617,Belgium
2012-08-01,19.277,Belgium
2012-09-01,14.538,Belgium
2012-10-01,10.501,Belgium
2012-11-01,6.582999999999999,Belgium
2012-12-01,4.399,Belgium
2012-01-01,23.54,Belize
2012-02-01,24.673,Belize
2012-03-01,25.464,Belize
2012-04-01,26.86,Belize
2012-05-01,27.61,Belize
2012-06-01,27.307,Belize
2012-07-01,26.806,Belize
2012-08-01,26.893,Belize
2012-09-01,27.05,Belize
2012-10-01,25.326,Belize
2012-11-01,23.542,Belize
2012-12-01,23.742,Belize
2012-01-01,26.974,Benin
2012-02-01,29.482000000000006,Benin
2012-03-01,30.852,Benin
2012-04-01,30.547,Benin
2012-05-01,28.725,Benin
2012-06-01,27.413,Benin
2012-07-01,25.818,Benin
2012-08-01,25.44,Benin
2012-09-01,25.947,Benin
2012-10-01,26.61,Benin
2012-11-01,28.266,Benin
2012-12-01,26.948,Benin
2012-01-01,2.955,Bhutan
2012-02-01,6.800999999999998,Bhutan
2012-03-01,10.474,Bhutan
2012-04-01,12.74,Bhutan
2012-05-01,16.171,Bhutan
2012-06-01,17.85,Bhutan
2012-07-01,18.286,Bhutan
2012-08-01,18.55,Bhutan
2012-09-01,16.621,Bhutan
2012-10-01,12.858,Bhutan
2012-11-01,8.509,Bhutan
2012-12-01,5.542000000000001,Bhutan
2012-01-01,22.889000000000006,Bolivia
2012-02-01,22.507,Bolivia
2012-03-01,22.394,Bolivia
2012-04-01,21.71,Bolivia
2012-05-01,19.898,Bolivia
2012-06-01,18.334,Bolivia
2012-07-01,17.679000000000006,Bolivia
2012-08-01,20.173,Bolivia
2012-09-01,22.869,Bolivia
2012-10-01,23.905,Bolivia
2012-11-01,23.592,Bolivia
2012-12-01,23.336,Bolivia
2012-01-01,26.188,Bonaire-Saint Eustatius And Saba
2012-02-01,26.382,Bonaire-Saint Eustatius And Saba
2012-03-01,26.595,Bonaire-Saint Eustatius And Saba
2012-04-01,27.243,Bonaire-Saint Eustatius And Saba
2012-05-01,28.316,Bonaire-Saint Eustatius And Saba
2012-06-01,29.115,Bonaire-Saint Eustatius And Saba
2012-07-01,29.215,Bonaire-Saint Eustatius And Saba
2012-08-01,29.225,Bonaire-Saint Eustatius And Saba
2012-09-01,29.403,Bonaire-Saint Eustatius And Saba
2012-10-01,28.83,Bonaire-Saint Eustatius And Saba
2012-11-01,28.435,Bonaire-Saint Eustatius And Saba
2012-12-01,27.01,Bonaire-Saint Eustatius And Saba
2012-01-01,0.807,Bosnia and Herz.
2012-02-01,-2.802,Bosnia and Herz.
2012-03-01,8.695,Bosnia and Herz.
2012-04-01,11.082,Bosnia and Herz.
2012-05-01,15.295,Bosnia and Herz.
2012-06-01,21.634,Bosnia and Herz.
2012-07-01,24.029,Bosnia and Herz.
2012-08-01,23.628,Bosnia and Herz.
2012-09-01,18.606,Bosnia and Herz.
2012-10-01,12.821000000000002,Bosnia and Herz.
2012-11-01,9.317,Bosnia and Herz.
2012-12-01,1.236,Bosnia and Herz.
2012-01-01,26.631,Botswana
2012-02-01,25.921,Botswana
2012-03-01,25.246,Botswana
2012-04-01,21.905,Botswana
2012-05-01,19.645,Botswana
2012-06-01,15.454,Botswana
2012-07-01,14.986,Botswana
2012-08-01,18.903,Botswana
2012-09-01,21.967,Botswana
2012-10-01,24.825000000000006,Botswana
2012-11-01,27.040000000000006,Botswana
2012-12-01,26.278,Botswana
2012-01-01,25.399,Brazil
2012-02-01,25.653,Brazil
2012-03-01,25.783,Brazil
2012-04-01,25.675,Brazil
2012-05-01,24.891,Brazil
2012-06-01,24.578000000000007,Brazil
2012-07-01,24.171,Brazil
2012-08-01,25.349,Brazil
2012-09-01,26.728,Brazil
2012-10-01,27.12,Brazil
2012-11-01,26.683000000000003,Brazil
2012-12-01,26.575,Brazil
2012-01-01,25.197,British Virgin Islands
2012-02-01,25.541,British Virgin Islands
2012-03-01,25.784,British Virgin Islands
2012-04-01,26.358,British Virgin Islands
2012-05-01,27.238000000000003,British Virgin Islands
2012-06-01,28.824,British Virgin Islands
2012-07-01,28.826,British Virgin Islands
2012-08-01,28.907,British Virgin Islands
2012-09-01,28.98,British Virgin Islands
2012-10-01,28.495,British Virgin Islands
2012-11-01,27.946,British Virgin Islands
2012-12-01,26.226,British Virgin Islands
2012-01-01,-1.052,Bulgaria
2012-02-01,-3.2349999999999994,Bulgaria
2012-03-01,6.334,Bulgaria
2012-04-01,12.45,Bulgaria
2012-05-01,16.027,Bulgaria
2012-06-01,21.711,Bulgaria
2012-07-01,25.063,Bulgaria
2012-08-01,23.591,Bulgaria
2012-09-01,19.393,Bulgaria
2012-10-01,14.634,Bulgaria
2012-11-01,8.665,Bulgaria
2012-12-01,0.75,Bulgaria
2012-01-01,24.725,Burkina Faso
2012-02-01,28.344,Burkina Faso
2012-03-01,31.04,Burkina Faso
2012-04-01,32.543,Burkina Faso
2012-05-01,31.766,Burkina Faso
2012-06-01,29.907,Burkina Faso
2012-07-01,27.439,Burkina Faso
2012-08-01,26.729,Burkina Faso
2012-09-01,27.21,Burkina Faso
2012-10-01,28.6,Burkina Faso
2012-11-01,29.298,Burkina Faso
2012-12-01,25.959,Burkina Faso
2012-01-01,19.607,Burma
2012-02-01,22.19400000000001,Burma
2012-03-01,25.042,Burma
2012-04-01,27.063,Burma
2012-05-01,28.081000000000003,Burma
2012-06-01,26.806,Burma
2012-07-01,26.206000000000003,Burma
2012-08-01,26.233,Burma
2012-09-01,26.293000000000003,Burma
2012-10-01,25.161,Burma
2012-11-01,23.777,Burma
2012-12-01,20.35,Burma
2012-01-01,21.078000000000003,Burundi
2012-02-01,20.784,Burundi
2012-03-01,20.8,Burundi
2012-04-01,20.043,Burundi
2012-05-01,20.149,Burundi
2012-06-01,20.59,Burundi
2012-07-01,20.299,Burundi
2012-08-01,21.355,Burundi
2012-09-01,21.998,Burundi
2012-10-01,21.107,Burundi
2012-11-01,20.756,Burundi
2012-12-01,20.092,Burundi
2012-01-01,26.308000000000003,Côte d'Ivoire
2012-02-01,27.506,Côte d'Ivoire
2012-03-01,28.576,Côte d'Ivoire
2012-04-01,27.873,Côte d'Ivoire
2012-05-01,27.065,Côte d'Ivoire
2012-06-01,26.172,Côte d'Ivoire
2012-07-01,25.253,Côte d'Ivoire
2012-08-01,25.082,Côte d'Ivoire
2012-09-01,25.669,Côte d'Ivoire
2012-10-01,25.862,Côte d'Ivoire
2012-11-01,27.003,Côte d'Ivoire
2012-12-01,26.26,Côte d'Ivoire
2012-01-01,26.039,Cambodia
2012-02-01,27.663,Cambodia
2012-03-01,28.972,Cambodia
2012-04-01,29.098000000000003,Cambodia
2012-05-01,28.591,Cambodia
2012-06-01,28.284,Cambodia
2012-07-01,27.737,Cambodia
2012-08-01,27.887,Cambodia
2012-09-01,27.24,Cambodia
2012-10-01,27.334,Cambodia
2012-11-01,27.724,Cambodia
2012-12-01,27.106,Cambodia
2012-01-01,24.337,Cameroon
2012-02-01,26.079,Cameroon
2012-03-01,27.081,Cameroon
2012-04-01,26.769,Cameroon
2012-05-01,25.369,Cameroon
2012-06-01,24.38,Cameroon
2012-07-01,23.455,Cameroon
2012-08-01,23.805,Cameroon
2012-09-01,23.93,Cameroon
2012-10-01,23.979,Cameroon
2012-11-01,24.836,Cameroon
2012-12-01,24.504,Cameroon
2012-01-01,-20.472,Canada
2012-02-01,-16.499000000000002,Canada
2012-03-01,-13.599,Canada
2012-04-01,-5.276,Canada
2012-05-01,4.045,Canada
2012-06-01,11.008,Canada
2012-07-01,14.796,Canada
2012-08-01,13.045,Canada
2012-09-01,7.907,Canada
2012-10-01,-1.814,Canada
2012-11-01,-12.093,Canada
2012-12-01,-19.17,Canada
2012-01-01,22.693,Cape Verde
2012-02-01,21.677,Cape Verde
